#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,link,desc
120,Staryu,Water,,340,30,45,55,70,55,85,1,False,https://img.pokemondb.net/sprites/home/normal/staryu.png,"Staryu is a golden-brown, echinoderm Pokémon with five appendages. These appendages surround an exterior organ called the core. The core resembles a golden metal casing with a red gem in the center, which is held in place by a golden ring looped around Staryu's lower left point. If any of Staryu's appendages are lost or eaten by predators like Lumineon, it is unharmed and can grow them back with ease provided the core is still intact.
"
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False,https://img.pokemondb.net/sprites/home/normal/starmie.png,"Starmie is an echinoderm Pokémon that resembles two violet starfish with five appendages each. The front starfish has a golden formation in the center. In the center of the golden casing is its red jewel core, which can glow in seven colors and has developed to resemble a cut precious stone. The second starfish is semi-attached to the back of the first and can spin 360 degrees. This rotational action is how Starmie swims through the ocean. It can also launch itself out of the water and fly through the air for short periods, as seen in Pokémon Snap.
"
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,False,https://img.pokemondb.net/sprites/home/normal/mr-mime.png,
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,False,https://img.pokemondb.net/sprites/home/normal/scyther.png,"Scyther is a bipedal, insectoid Pokémon. Its body is primarily green and has a thin, cream-colored section between its head, thorax, and abdomen. Female Scyther have larger abdomens than male Scyther. Its reptilian head has two narrow, triangular eyes and three blunt horns extending from its forehead. Its arms end in large, white scythes, which it uses for both hunting and fighting. Two pairs of cream-colored wings extend from its back. While these wings do allow Scyther to fly, it rarely does so. Scyther's thighs have large, upward-pointing spikes. Its feet are tall, rounded, and conical, almost extending to its thighs; each foot ends in three small, white claws on its front side.
"
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,False,https://img.pokemondb.net/sprites/home/normal/jynx.png,"Jynx is a bipedal, humanoid Pokémon that resembles a woman. It has a purple face, pink lips, saucer-like eyes, and long blonde hair. It wears a red gown with two gold circlets on the chest. While the anime has shown it to possess feet, the games show only blackness under the dress and it lacks a footprint. Despite this, it is able to learn the kicking move Triple Axel. It has white arms and five-fingered purple hands. Jynx is a female-only species with no male counterpart.
"
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False,https://img.pokemondb.net/sprites/home/normal/electabuzz.png,"Electabuzz is a slightly humanoid Pokémon with a few feline traits. It has antennae with bulbous tips where its ears should be, two long tufts of fur on top of its head, small eyes, and two large fangs in its upper jaw. It is covered in yellow fur with many black stripes. There is a large, lightning bolt-shaped stripe on Electabuzz's chest, a V-shaped stripe on its forehead, one stripe on its side, a thick stripe down its back, two bands on each leg, several broken bands on each arm, and many rings around its long tail. There are three clawed toes on each of its feet, two in front and one in back, and five fingers on each hand.
"
126,Magmar,Fire,,495,65,95,57,100,85,93,1,False,https://img.pokemondb.net/sprites/home/normal/magmar.png,"Magmar is a bipedal Pokémon that has a red body with yellow flame designs along the bottom half. It has a puckered tan beak, small eyes, and two lumps on its forehead with a yellow flame on top of each one. Rigid, red scales cover its arms and it has five, clawed fingers on each hand. Magmar's shoulders and thighs are yellow, and its red feet have two, clawed toes each. It has black, metal shackles around its neck and ankles. Down its back is a row of red spikes, and there is a flame at the tip of its tapering, yellow tail.
"
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,False,https://img.pokemondb.net/sprites/home/normal/pinsir.png,"Pinsir is a bipedal, coleopteran insectoid Pokémon with a wide, dull-brown body divided into segments by thin lines. On top of its head is a large pair of gray, spiky pincers on top of its head. In its mouth are many long, flat teeth arranged horizontally and it has triangular eyes. Capable of seeing color to some degree, Pinsir appears to be attracted to the color green. Its legs are short and thick, while its arms are long and thin. It has three claws on each hand and foot; two of its toes face forward and one backward.
"
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,False,https://img.pokemondb.net/sprites/home/normal/pinsir-mega.png,
128,Tauros,Normal,,490,75,100,95,40,70,110,1,False,https://img.pokemondb.net/sprites/home/normal/tauros.png,"Tauros is a quadrupedal, bovine Pokémon. It is covered in light brown fur with a thick, darker brown mane around the neck. It has a rounded muzzle with a dark brown nose, small, triangular eyes, three gray bumps running vertically down its forehead, and a pair of curved, gray horns growing from atop its head. Each of its three black tails has a tuft of fur on the end, and there is a single gray hoof on each foot. Tauros is a male-only species.
"
129,Magikarp,Water,,200,20,10,55,15,20,80,1,False,https://img.pokemondb.net/sprites/home/normal/magikarp.png,"Magikarp is a piscine Pokémon with large, heavy reddish-orange scales. It has large, vacant eyes and pink lips. Its pectoral and tail fins are white. On its back is a stiff, three-peaked yellow fin, resembling a crown; there is an identical fin on its underside. It also has long barbels. The barbels are white on a female and pale-yellow on a male. A long-lived Magikarp is able to utilize its immense splashing power to leap high enough to scale mountains. It also has a strong enough immune system to survive in the most polluted of waters. However, it is usually overlooked by Trainers because of its perceived weakness: even in the heat of battle, it will do nothing but flop around. It is believed that the ancestors of Magikarp were actually much stronger than modern Magikarp, and this led scientists to research this species.
"
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False,https://img.pokemondb.net/sprites/home/normal/gyarados.png,"Gyarados is a piscine, draconic Pokémon with a long serpentine body covered in slightly overlapping scales. It is mostly blue with a yellow underbelly, and it has a row of yellow spots down each side. Its mouth is very large and gaping, bearing four pointed teeth and yellow lips. It has one pair of barbel and a small white fin on each side of its face. The barbels are white on a female and blue on a male. It has small, red eyes, a three-pointed, dark blue crest on its head, and four white, spiky dorsal fins. Gyarados's tail fin is similar in structure to the crest on its head, except with a thin, white fin spread between the points.
"
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,False,https://img.pokemondb.net/sprites/home/normal/gyarados-mega.png,
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,False,https://img.pokemondb.net/sprites/home/normal/lapras.png,"Lapras is a marine reptilian Pokémon that resembles a plesiosaur. It has a blue hide with darker blue spots and a cream-colored underside. It has large brown eyes, a short horn on its forehead, and tightly curled ears. It has a long neck and four flippers. The foremost flippers are larger than the hind. On its back is a heavy, gray shell covered in blunt knobs.
"
132,Ditto,Normal,,288,48,48,48,48,48,48,1,False,https://img.pokemondb.net/sprites/home/normal/ditto.png,"In its natural state, Ditto is a light-purple or pink blob-like Pokémon with vestigial facial features. It is often referred to as amorphous, but has a relatively consistent appearance in official artwork, including two small nubs on its ""head"", a few soft lumps at its base, and two pseudopod-like protrusions in place of arms. The face consists of beady eyes and a simple mouth; almost always pulled into a smile.
"
133,Eevee,Normal,,325,55,55,50,45,65,55,1,False,https://img.pokemondb.net/sprites/home/normal/eevee.png,"Eevee is a small, mammalian, quadrupedal Pokémon with primarily brown fur. The tip of its bushy tail and its large furry collar are cream-colored. It has short, slender legs with three small toes and a pink paw pad on each foot. Eevee has brown eyes, long pointed ears with dark brown interiors, and a small black nose.
"
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False,https://img.pokemondb.net/sprites/home/normal/vaporeon.png,"Vaporeon is a Pokémon that shares physical traits with both aquatic and land animals. Vaporeon's body is light blue with a dark blue marking around its head and a spiky ridge down its spine. It has black eyes and a tiny black nose. There a white fin encircling its neck and three fins with cream-colored webbing on its head. Two of these fins are on either side of its head, similar to ears; and one is directly on top of its head, resembling a dorsal fin. Vaporeon is a quadruped with three small toes on each foot and dark blue paw pads on the hind feet. Its split tail fin has been mistaken for a mermaid's in the past, and is believed to be the origin of mermaid folklore. It can detect moisture with its fins, which vibrate when sensing incoming rain.
"
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False,https://img.pokemondb.net/sprites/home/normal/jolteon.png,"Jolteon is a quadrupedal, mammalian Pokémon. It is covered in yellow fur with a spiky fringe around its tail and a white ruff around its neck. Its ears are large and pointed with black interiors, and its eyes and small nose are black. It has slender legs and small paws, each with three toes and a pink paw-pad.
"
136,Flareon,Fire,,525,65,130,60,95,110,65,1,False,https://img.pokemondb.net/sprites/home/normal/flareon.png,"Flareon is a mammalian, quadrupedal Pokémon covered in short, reddish-orange fur. It has long ears with black interiors, dark eyes, and a small black nose. There are three small toes and a yellow paw pad on each foot. Fluffy yellow fur forms a small tuft on its head, as well as its bushy tail and a mane around its chest and neck.
"
137,Porygon,Normal,,395,65,60,70,85,75,40,1,False,https://img.pokemondb.net/sprites/home/normal/porygon.png,"Porygon is an artificial Pokémon made completely out of programming code. It has a pink, polyhedral head that ends in a blue beak and has hexagonal eyes, and it has a pink polyhedral body with a blue front, blue triangular prism feet, and a blue rectangular prism tail. In 3D games, such as Pokémon Stadium, it can open its beak and can detach its limbs and head from its torso. According to its Pokédex entries, it has copy protection built into its code, preventing duplication through electronic means. It was created in 1995 by Silph Co.,[1] however documents at Silph Co. claim it was created at the Pokémon Lab on Cinnabar Island using the state-of-the-art technology of its time. Because it was created decades ago, many of its parts have since become obsolete. It was the first artificial Pokémon to have ever been created through computer programming. In ancient Hisui, people were confused about Porygon and its evolutions due to them arriving through space-time distortions and being the product of far more advanced technology than what was available at the time.
"
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,False,https://img.pokemondb.net/sprites/home/normal/omanyte.png,"Omanyte is a small extinct cephalopod mollusk Pokémon similar to an ammonite or nautilus. It has a sky blue body with ten tentacles and a pale yellow, helix-spiraled shell on its back. The shell's rim has two circular indents where Omanyte's large saucer-like eyes protrude. If attacked or threatened, it quickly withdraws into its hard shell.
"
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,False,https://img.pokemondb.net/sprites/home/normal/omastar.png,"Omastar is a cephalopod mollusk Pokémon similar to an ammonite or nautilus. Its sky blue body has several tentacles; the tentacles toward the front are shorter and thicker than those in the back. There is a pale yellow, helix spiraled shell on its back. Several sharp spikes line the shell's midsection from the front to about halfway down its back. The shell's rim has two circular indents where Omastar's eyes are visible. Its eyes have yellow sclerae and vertically-slit pupils. It has an oval mouth with a four-sectioned, fang-like beak.
"
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,False,https://img.pokemondb.net/sprites/home/normal/kabuto.png,"Kabuto is a small arthropod Pokémon resembling a horseshoe crab. It is mostly flat with a protective, brown shell covering its body. There are two small, black eyes on top of its shell, which it uses for sight when it hides on the ocean floor. Underneath the shell is a black space that hides the structure of its main body. Only its four short, yellow legs and a second pair of luminescent red eyes are visible on its underside. In its original time, Kabuto was prominently found on beaches, likely aided by its fast and powerful swimming ability. While it is commonly believed to be extinct, isolated populations of Kabuto have been unchanged for 300 million years.
"
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,False,https://img.pokemondb.net/sprites/home/normal/kabutops.png,"Kabutops is a bipedal prehistoric arthropod Pokémon with a skeletal, well-armored build. It has a flat, half-circular head with a point on each side and two small eyes on the front. It is mostly brown, except for its light gray chest and abdomen. There is a ridge down its back with three flat spines on either side and it has a flat, pointed tail. Instead of hands, its forearms have large, sharp, gray scythes. Its thin legs are brown lead to small feet with two large gray claws.
"
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False,https://img.pokemondb.net/sprites/home/normal/aerodactyl.png,"Aerodactyl is a reptilian, bipedal prehistoric Pokémon that resembles a pterosaur with several draconic features. It has small sharply pointed ears, narrow dark green eyes, a ridged snout, a gaping mouth, and a strong lower jaw full of serrated fangs. Its body is covered in light blue-gray skin and it has large, violet membranous wings. The clawed hands at the end of each wing allow it to grasp objects. There is a hump-like ridge with a spike on its back, and it has a strong tail with an arrow-shaped tip. Its talon-like feet have two toes in front and one in the back, and are capable of scooping up and tightly clutching its prey in flight.
"
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,False,https://img.pokemondb.net/sprites/home/normal/aerodactyl-mega.png,
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False,https://img.pokemondb.net/sprites/home/normal/snorlax.png,"Snorlax is a huge, bipedal, dark blue-green mammalian Pokémon with a cream-colored face, belly, and feet. Its body is composed of mostly its belly, as its limbs are comparatively small. Its head is large with small, pointed ears, and two pointed teeth protruding from its lower jaw. It has round feet, which both have three claws and a circular brown paw pad, and short arms with five claws on each hand. Snorlax's bulk makes it the heaviest Normal type.
"
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,True,https://img.pokemondb.net/sprites/home/normal/articuno.png,"Articuno is a large avian Pokémon with predominantly sky blue plumage and wings said to be made of ice. On its forehead is a crest that consists of three, darker blue rhombus-shaped feathers. It has circular red eyes, a short gray beak, and long, thin gray legs. Each foot has three forward-facing toes and one that faces backward. On its chest is a mass of pale blue, downy feathers. Its long, streamer-like tail is longer than its body and the same shade of blue as its crest.
"
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True,https://img.pokemondb.net/sprites/home/normal/zapdos.png,"Zapdos is a large, avian Pokémon with predominantly yellow plumage. It has small, triangular eyes with black around them and a long, thin, light orange beak. Its wings and tail are a mass of spiky feathers and there are black feathers covering the back of its wings and inner tail feathers. A large crest of spiked feathers surrounds its head. Its thighs are tan, and it has thin, light orange legs. It has feet with three forward-facing toes and one backward-facing toe; each toe has a short talon.
"
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True,https://img.pokemondb.net/sprites/home/normal/moltres.png,"Moltres is a large, avian Pokémon with golden plumage. It has a long, flowing head crest and a billowing tail, both made of reddish-orange and yellow flames. Additionally, its wings are also shrouded in fiery plumage. It has a long, thin neck, a pointed, brown beak, and small, triangular eyes. Its thin, brown legs have feet that have three forward-facing toes and one backward-facing toe. It has short talons.
"
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,False,https://img.pokemondb.net/sprites/home/normal/dratini.png,"Dratini is a reptilian Pokémon with a blue serpentine body and a white underside. It has white, three-pronged fins on the sides of its head and a white bump on its forehead, which is its horn growing. Above its round, white snout are oval, purple eyes.
"
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,False,https://img.pokemondb.net/sprites/home/normal/dragonair.png,"Dragonair is a long, serpentine reptilian Pokémon with sky blue scales and a white underside. It has a rounded snout, oval purple eyes, and a small, white horn on its forehead. On each side of its head is a small, stylized wing, which is white and curves into a swirl at the base. Three blue, crystal orbs adorn its body: one on its neck and two on its tail.
"
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False,https://img.pokemondb.net/sprites/home/normal/dragonite.png,"Dragonite is a draconic, bipedal reptilian Pokémon with light orange skin. It has large, grayish-green eyes and a round snout with small nostrils. A pair of long, thin antennae sprout from the top of its head with a small horn set between them. Its striated underbelly is cream-colored and extends from its neck to the tip of its long, tapering tail. It has thick arms and legs ending in three claws each. The leg joints are well defined, while its arms have a smooth, rounded appearance. Dragonite's wings are small relative to its body with teal wing membranes.
"
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,True,https://img.pokemondb.net/sprites/home/normal/mewtwo.png,"Mewtwo is an artificial Pokémon. It is a bipedal, humanoid Pokémon with some feline features. It is primarily gray with a long, purple tail. On top of its head are two short, blunt horns, and it has purple eyes. A tube extends from the back of its skull to the top of its spine, bypassing its neck. It has a defined chest and shoulders, which resemble a breastplate. The three digits on each hand and foot have spherical tips. Its tail is thick at the base but thins before ending in a small bulb.
"
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,True,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-x.png,
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,True,https://img.pokemondb.net/sprites/home/normal/mewtwo-mega-y.png,
151,Mew,Psychic,,600,100,100,100,100,100,100,1,False,https://img.pokemondb.net/sprites/home/normal/mew.png,"Mew is a pink, bipedal Pokémon with mammalian features. It has a rounded, wide snout; triangular ears; and large, blue eyes. It has short arms with three-fingered paws and large hind paws with oval markings on the soles. Its tail is long and thin with an ovoid tip. Its fur is so fine and thin, it can only be seen under a microscope. Mew is said to have the DNA of every single Pokémon contained within its body, allowing Mew to learn and use any attack.
"
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,False,https://img.pokemondb.net/sprites/home/normal/chikorita.png,"Chikorita is a small, pale-green, quadrupedal Pokémon with dark-green buds around its neck. Its head is large in proportion to the rest of its body, and it has big red eyes. Chikorita has four short legs with a single nailed toe on each and a stubby tail. On top of its head is a large, green leaf that is usually longer than its body. A soothing aroma wafts from the leaf, which can calm battling Pokémon. The leaf is also used to sense temperature and humidity. Chikorita actively seeks out and enjoys the sun's warmth.
"
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,False,https://img.pokemondb.net/sprites/home/normal/bayleef.png,"Bayleef is a quadrupedal, pale-yellow reptilian Pokémon that resembles a sauropod dinosaur. It has a long neck, red eyes, a short, rounded snout, and a stubby tail. Each foot has a single, light gray nail. Sprouting from its forehead is a green leaf that curves back over its head and around its neck are a series of tightly curled leaves. Inside the leaves are small tree shoots. The aroma wafting from the leaves around its neck has a spicy scent and has various beneficial effects on those that inhale it. The fragrance has a combination of energizing, stimulating, and healing effects. Bayleef can be rarely found in grasslands.
"
154,Meganium,Grass,,525,80,82,100,83,100,80,2,False,https://img.pokemondb.net/sprites/home/normal/meganium.png,"Meganium is a quadrupedal, pale-green reptilian Pokémon that resembles a sauropod dinosaur. It has a long neck; yellow eyes; a short, blunt snout; and two stamen-like antennae on top of its snout. The antennae are shorter on a female than on a male. Encircling Meganium's neck are large, pink flower petals with a yellow central pattern and white edges. It has three claws on each foot and a stubby tail.
"
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,False,https://img.pokemondb.net/sprites/home/normal/cyndaquil.png,"Cyndaquil is a small, bipedal mammalian Pokémon with bluish fur on top of its body and cream-colored fur on its underside. Its eyes are usually seen closed, and it has a long, thin snout. Its arms are short, but its legs are slightly more developed and have a single nail on each foot. On its back are four red circles that can erupt into flames. When the flames are burning, its back has the appearance of being covered in spines. Cyndaquil is capable of defending itself using these flames, and the fire grows more powerful as it becomes angry or defensive. However, if it is tired, the flames are not able to burn properly. It is usually timid by nature and often curls into a ball when intimidated. Though rare in the wild, it can be found living on grasslands.

"
156,Quilava,Fire,,405,58,64,58,80,65,80,2,False,https://img.pokemondb.net/sprites/home/normal/quilava.png,"Quilava is a quadrupedal Pokémon with a long and slender body. The top half of its body is a dark blue-green, while its underside is cream-colored. It has triangular ears with dark red interiors, a rounded snout, and triangular red eyes. Each of its paws has three toes. It has five red spots on its body that can project flames: two arranged vertically on its forehead and three lined up horizontally on its rear.
"
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,False,https://img.pokemondb.net/sprites/home/normal/typhlosion.png,"Typhlosion is a bulky Pokémon with a long, yet agile body. It is classified as a quadruped, but it is capable of bipedal movement. Most of its body is cream-colored, but its back and the top of its head are a dark green-blue. It has a short, rounded snout and small, triangular eyes and ears. When its mouth is open, its sharp canine teeth and thick tongue are visible. Each of its paws has five digits and there is a coarse, spiky fringe of fur along its rear. Across the back of its neck, there are several red spots that can produce fire.
"
158,Totodile,Water,,314,50,65,64,44,48,43,2,False,https://img.pokemondb.net/sprites/home/normal/totodile.png,"Totodile is a bipedal, crocodilian Pokémon with well-developed jaws. It has red eyes with ridges above them, black markings around its eyes, and several sharp teeth. On its chest is a yellow, V-shaped marking that extends to its arms; there is a thin line through the center of the marking. Totodile has five fingers and three toes. Down its back is a row of three red spines with a small, red ridge on either side. The tip of its tail has a single red spine as well. Totodile tends to be playful by nature and has a habit of biting anything it sees, including its Trainer. However, its jaws are capable of crushing anything, so it sometimes causes serious injuries. Totodile is scarce in the wild, though it can be found around bodies of water like rivers, ponds, and lakes.
"
159,Croconaw,Water,,405,65,80,80,59,63,58,2,False,https://img.pokemondb.net/sprites/home/normal/croconaw.png,"Croconaw is a bipedal, crocodilian Pokémon. It has well-developed, rounded jaws with two fangs visible in the corners of the lower jaw even when closed. Its eyes are red with black markings around them. There are three clusters of red spikes on its body: one with three points on top of its head, one with two points between its shoulders, and a diamond-shaped one near the tip of its tail. While most of its body is blue, its lower jaw is yellow and there is an asymmetrical, yellow-and-blue pattern around its chest that resembles a spotted animal skin.
"
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,False,https://img.pokemondb.net/sprites/home/normal/feraligatr.png,"Feraligatr is a bulky, bipedal, crocodilian Pokémon with blue scales. It has large, powerful jaws lined with several sharp fangs. Three teeth are visible when its jaws are closed: two in its lower jaw and one in its upper. Its eyes are red with black markings around them and ridges above them and its lower jaw is yellow. There are three red spines on its body, each with three points: one on top of its head, one between its shoulders, and one near the tip of its tail. There are also several groups of large, rectangular scales on its arms, knees, tail, and waist. Its back is slightly hunched with ridges behind the shoulders and hips. On its lower body is a yellow, V-shaped marking that extends up to its thighs; there is a thin line through the center of the marking. Its arms have five clawed fingers and its feet three clawed toes.
"
161,Sentret,Normal,,215,35,46,34,35,45,20,2,False,https://img.pokemondb.net/sprites/home/normal/sentret.png,"Sentret is a small mammalian Pokémon covered in brown fur. It has long, dark brown ears with dark pink interiors, beady black eyes, and a small mouth. While it is capable of standing on its hind legs, it typically moves on all fours. It has a round body with wide arms and two small feet. On its belly is a white ring and there are dark brown stripes around its tail.
"
162,Furret,Normal,,415,85,76,64,45,55,90,2,False,https://img.pokemondb.net/sprites/home/normal/furret.png,"Furret is a long, slim-bodied mustelid Pokémon with cream-colored fur and dark brown rings along the length of its body. The back of its head and neck are also dark brown; this marking extends to below its arms where the first ring is formed. It has cream-colored tips on its ears, two brown, whisker-like markings on each cheek, and round, black eyes. Its four limbs are stubby; the forepaws are brown and the hind paws cream-colored. Furret is capable of standing on its hind legs, but prefers to move on all fours. Its body and tail are so similar in structure that it is impossible to tell where its tail begins.
"
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,False,https://img.pokemondb.net/sprites/home/normal/hoothoot.png,"Hoothoot is an avian Pokémon that resembles an owl with a round body. Most of its feathers are brown, but its belly is cream-colored. It has large, red eyes; a small, pinkish beak; stubby wings; and a fan-like tail with three feathers. Encircling its eyes are black rings; the lower rims of each ring have three protrusions that resemble the teeth on a gear, while the upper rims have extensions that resemble the hands of a clock. As seen in the anime, Hoothoot's feathers can grow to be shaggy, and the protrusions on its head droop. It has two pinkish feet, each with five-clawed toes. However, it will typically only stand on one foot at a time and alternates between the two at speeds too difficult to track with the naked eye.
"
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,False,https://img.pokemondb.net/sprites/home/normal/noctowl.png,"Noctowl is an avian Pokémon that resembles an owl. It has light brown plumage with a darker brown pattern of triangles on its chest. Its fan-like tail is the same dark brown, while its wings are a slightly lighter shade of brown with light brown undersides. It has red eyes with black rings around them and a second, cream-colored ring around the first. Above its eyes are bushy, cream-colored feather ""horns"" that resemble large eyebrows. Its small beak and talons are pinkish, and its feet are cream-colored with three toes facing forward and one backward. As shown in the anime, an elderly Noctowl can grow a small beard.
"
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,False,https://img.pokemondb.net/sprites/home/normal/ledyba.png,"Ledyba is a coleopteran insectoid Pokémon that resembles a ladybug. Its elytra are red with five black spots; this pattern differs slightly for each individual. The wings themselves are transparent. Its main body and lower jaw are yellow, while the rest of its head is red. It has large, round eyes and a pair of black antennae. The antennae are shorter on the female than on the male. It has six black legs with white hands that resemble boxing gloves.
"
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,False,https://img.pokemondb.net/sprites/home/normal/ledian.png,"Ledian is a coleopteran insectoid Pokémon that resembles a slightly humanoid ladybug. It has a pair of black antennae, a black spot in the center of its forehead and on the back of its head, blue eyes, and a cream-colored area around its mouth; the rest of its head is red. The antennae are shorter on the female than on the male. Its back and the top of its elytra are red with black spots, while the underside of its body and elytra are cream-colored. Underneath its elytra are a pair of clear wings. Its neck and limbs are black. It has four arms with white hands that resemble boxing gloves and a pair of legs with red feet.
"
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,False,https://img.pokemondb.net/sprites/home/normal/spinarak.png,"Spinarak is a green arachnid Pokémon that resembles a spider. It has black eyes with white pupils, a white horn on its forehead, and a pair of red mandibles. On the back of its abdomen are two black dots and a line that resembles a face; the face on its back can change expression, as seen in the anime and 3D video games. There is an additional line encircling the end of its abdomen. It has three pairs of yellow legs, each with a black band around the middle.
"
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,False,https://img.pokemondb.net/sprites/home/normal/ariados.png,"Ariados is a red arachnid Pokémon that resembles a spider. It has purple eyes, a pair of white mandibles, and a white horn on its forehead. Around its abdomen are two black stripes and there are two black spots and a yellow spinneret on its rear. The spots and spinneret together form a pattern similar to a face. Ariados can produce thread from both its spinneret and its mouth. It has four yellow legs with two purple bands each; on its back are yellow structures similar to its legs with a single purple stripe each. Its feet are tipped with tiny hooks that allow it to climb ceilings and vertical walls.
"
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False,https://img.pokemondb.net/sprites/home/normal/crobat.png,"Crobat is a purple, chiropteran Pokémon with a small, round body. It has long, pointed ears, yellow eyes with red pupils, and a small mouth that usually has its teeth bared. On its body are two pairs of wings: an upper pair that is slightly larger and a lower pair that developed from its hind legs. Both pairs have green-blue membranes, but the lower pair's membranes are only visible from the back. The upper wings have two claw-like fingers near the middle. On the bottom of its body are what appear to be a pair of stubby feet or tufts of fur.
"
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False,https://img.pokemondb.net/sprites/home/normal/chinchou.png,"Chinchou is a small, piscine Pokémon with a round, blue body. It has large yellow eyes with pupils shaped like plus signs, a pair of semi-transparent, light blue pectoral fins, and stubby feet. Positioned on Chinchou's rear, where its tail would be, are a pair of antennae that curve up and over its head. The antennae developed from fins and have yellow, teardrop-shaped orbs at the tips.
"
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,False,https://img.pokemondb.net/sprites/home/normal/lanturn.png,"Lanturn is a blue piscine Pokémon that resembles an anglerfish. It has big, red eyes with a yellow mask-like marking around them and small, light blue pectoral fins. The lower half of its tailfin is yellow and has jagged edges. On its back is a Y-shaped antenna with a spherical orb at each tip; this antenna is a modification of its dorsal fin. Inside its orbs are bacteria that produce light by absorbing Lanturn's bodily fluids. It lures prey using the glow, then blinds them by using an intense flash before it swallows them whole. The flash it creates is visible on the surface from a depth of over three miles (five kilometers). This has earned it the nickname ""The Deep-Sea Star"". Lanturn competes with Lumineon when catching its prey Starmie. Frillish and Sharpedo are natural predators of Lanturn. Lanturn inhabits the depths of the ocean.
"
172,Pichu,Electric,,205,20,40,15,35,35,60,2,False,https://img.pokemondb.net/sprites/home/normal/pichu.png,"Pichu is a small, ground-dwelling rodent Pokémon with pale yellow fur. Its ear-tips, collar, and tail are black and angular. Pichu's pink cheek pouches can store small amounts of electricity, and its tiny nose looks like a dot. Pichu is classified as a quadruped, but it can walk easily on its hind legs.
"
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,False,https://img.pokemondb.net/sprites/home/normal/cleffa.png,"Cleffa is a small, pink Pokémon that is vaguely star-shaped in appearance. Its ears are completely brown. Cleffa has two small black eyes, a small mouth, and it appears to have a small, permanent blush on its cheeks. It possesses stubby arms and legs, which have no defined digits and come to a point. It has a curl on its forehead and a curled up tail.
"
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,False,https://img.pokemondb.net/sprites/home/normal/igglybuff.png,"Igglybuff is a small, bipedal balloon-like Pokémon that is completely pink. Its body can turn deep pink when the temperature increases, or when it sings continously. It has a rounded tuft of hair on top of its head, a small swirl-like pattern on its forehead, and red eyes. Igglybuff has small, stubby limbs, and is usually seen levitating in the air. Rather than walking, this small Pokémon bounces like a ball to move around, as its body is extremely soft and elastic — although it may not be able to stop if it does this. As Igglybuff moves, it secretes sweat with a sweet fragrance, which calms the emotions of its foes.
"
